Facultad / Programa;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1
Administración;37;34;22;29;24;48;50;54;41;69;62;64;82;91;105;157;94;112;96;78;115;130;97;140;146;127;146;108;156;114;152;117;115;137;147;129;146;111;133
Contaduría Internacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;12;11
Administración;37;34;22;29;24;48;50;54;41;69;62;64;82;91;105;157;94;112;96;78;115;130;97;140;146;127;146;108;156;114;152;117;115;137;147;129;151;123;144
Arquitectura;31;43;24;30;21;44;19;32;31;30;31;46;40;39;38;56;41;59;29;80;83;50;39;72;79;76;60;59;67;68;59;75;67;91;69;69;77;80;66
Diseño;;;;;;;;;;;;;;;;;7;38;42;45;63;57;59;74;69;59;75;60;57;66;60;84;83;75;76;83;83;73;76
Diseño Industrial;20;13;20;25;10;17;20;16;34;45;39;58;60;66;39;81;78;42;24;18;11;17;;7;3;5;1;2;;;;2;1;2;1;;1;;
Diseño Textil;;;;2;3;4;6;4;1;2;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;
Arquitectura y Diseño;51;56;44;57;34;65;45;52;66;77;70;104;100;105;77;137;126;140;95;143;157;125;98;153;151;140;136;121;124;134;119;161;151;168;146;152;161;153;142
Arte;15;10;11;8;13;11;15;13;17;14;11;15;17;16;15;39;18;21;25;37;30;30;27;40;22;19;47;33;24;21;27;35;35;28;31;24;38;21;23
Artes Plásticas;10;13;4;2;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bellas Artes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Historia del Arte;;;;;;;;;;;;;;;;;;;;;;;2;1;2;6;5;7;7;3;4;10;5;8;11;4;9;4;7
Literatura;3;13;11;9;14;11;9;9;8;14;14;15;16;17;23;18;29;19;6;17;21;11;13;18;13;12;18;12;22;19;8;17;15;19;17;24;25;14;38
Música;4;3;5;5;4;3;4;6;4;2;7;7;3;11;13;10;13;9;12;11;12;21;22;26;25;16;13;17;14;12;13;12;10;18;12;16;17;8;14
Textiles;7;2;2;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artes y Humanidades;39;41;33;24;31;25;28;29;30;30;32;40;36;44;51;67;60;49;43;65;63;62;64;85;62;53;83;69;67;55;52;74;65;73;71;68;89;47;82
Bacteriología;2;;;2;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biología;19;25;18;19;22;17;12;38;12;22;18;24;23;38;41;28;30;28;28;24;25;29;18;26;11;24;18;30;26;26;23;20;29;25;16;31;34;33;47
Física;8;4;7;8;7;12;10;13;7;12;6;14;17;9;7;8;9;12;10;15;10;5;11;4;13;9;10;4;18;19;11;16;15;21;23;21;20;16;20
Geociencias;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;5;12;20;16;25;33;30;22;30;34;21
Matemáticas;6;6;6;6;7;6;10;3;11;10;7;8;9;12;11;14;13;8;8;16;5;15;12;7;15;6;5;8;15;11;13;11;7;12;9;15;9;11;12
Microbiología;13;9;8;9;12;17;19;31;13;25;18;18;31;28;41;27;22;31;29;26;23;23;32;14;23;21;22;18;24;14;23;15;24;24;18;19;34;34;38
Química;;;;;;;;;;;;;;1;2;1;4;5;4;7;2;6;2;10;7;8;8;6;3;5;7;6;2;7;5;7;7;8;9
Ciencias;48;44;39;44;48;54;51;85;44;69;49;64;80;88;102;78;78;84;79;88;65;78;75;61;69;68;65;69;91;87;97;84;102;122;101;115;134;136;147
Antropología;19;27;28;33;28;23;25;29;28;29;26;24;27;26;22;27;32;19;16;30;23;28;21;20;28;22;36;30;19;23;21;26;26;19;27;24;43;21;23
Ciencia Política;15;36;18;24;33;26;28;35;26;19;39;50;37;51;56;54;59;46;49;58;52;50;48;57;42;49;68;55;40;41;47;40;43;55;58;43;58;34;71
Filosofía;4;9;1;13;8;5;7;5;6;11;9;12;5;10;6;7;15;6;9;12;11;8;15;11;5;13;12;11;13;3;18;25;12;16;13;10;13;13;15
Historia;4;2;2;3;6;9;5;14;5;8;6;10;11;17;13;11;17;8;9;13;7;4;13;12;8;6;12;14;15;3;7;8;10;13;13;18;7;13;9
Lenguajes y Est. Soc.;4;4;1;1;2;3;7;7;9;11;8;19;12;21;19;19;14;15;11;19;11;13;8;8;11;11;11;16;11;11;10;6;9;10;9;5;3;;
Lenguas Modernas;8;5;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lenguas y Cultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;3;13;18;15;15
Psicología;33;35;25;12;11;17;16;24;21;34;22;50;33;45;25;46;26;43;26;39;33;25;37;42;36;44;55;48;53;48;52;60;44;50;78;86;63;52;62
Ciencias Sociales;87;118;77;87;89;83;88;114;95;112;110;165;125;170;141;164;163;137;120;171;137;128;142;150;130;145;194;174;151;129;155;165;145;167;201;199;205;148;195
Derecho;28;52;25;47;38;67;46;49;54;89;64;51;37;68;48;129;80;83;58;100;60;82;75;66;65;109;94;126;103;92;97;90;113;122;95;96;104;108;123
Economía;47;59;39;78;66;58;52;47;64;68;45;83;49;82;69;107;111;128;97;96;87;100;112;128;117;108;118;88;101;107;126;98;92;94;103;102;123;115;121
Lic. en Arte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Lic. en Educación Infantil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
Lic. en Español y Filología;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lic. En Física;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Lic. en Historia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;
Lic. en Matemáticas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Educación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5
Gobierno y AP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;9;16;15;25;21;25
Escuela de Gobierno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;9;16;15;25;21;25
Ingeniería Ambiental;;;;;2;11;14;12;18;8;29;18;17;14;11;27;20;22;29;25;43;40;24;36;34;54;43;52;46;37;51;50;32;39;42;53;74;37;40
Ingeniería Biomédica;;;;;;;;;;;;;;;;;;;;;;;;3;2;5;8;10;15;24;26;22;37;30;46;36;43;35;54
Ingeniería Civil;53;39;32;29;25;45;31;33;33;23;23;20;31;24;32;36;39;22;25;41;44;55;60;72;50;66;78;76;62;75;88;79;100;75;81;106;125;102;87
Ingeniería Eléctrica;21;22;20;28;17;16;13;13;14;5;7;13;6;20;13;13;4;20;18;32;16;26;23;12;17;18;26;21;22;16;15;15;10;16;7;11;24;19;23
Ingeniería Electrónica;5;13;24;23;31;30;36;45;32;39;46;40;38;27;19;30;31;55;45;48;32;37;33;22;32;26;31;30;26;31;34;23;32;13;19;19;36;36;48
Ingeniería Industrial;77;99;88;97;114;100;107;121;112;125;135;157;134;176;161;179;163;214;194;227;203;212;211;216;168;176;203;173;168;167;169;146;180;159;177;196;212;187;184
Ingeniería Mecánica;38;39;33;45;36;41;41;56;37;31;36;33;42;53;45;44;40;57;50;58;51;51;40;53;51;54;75;47;46;61;55;56;46;68;65;73;67;78;62
Ingeniería Química;20;11;18;23;23;20;19;27;22;28;17;41;46;60;59;44;64;49;57;73;38;48;64;62;44;44;45;34;42;46;40;57;58;65;68;64;67;55;75
Ingeniería de Sistemas;42;41;41;44;33;30;29;38;35;47;35;33;35;58;36;36;40;46;39;25;22;39;36;26;34;23;41;34;32;24;35;31;39;23;28;36;59;72;70
Ingeniería;256;264;256;289;281;293;290;345;303;306;328;355;349;432;376;409;401;485;457;529;449;508;491;502;432;466;550;477;459;481;513;479;534;488;533;594;707;621;643
Medicina;;;;;;;;;;;;;;;;;29;3;28;32;24;35;53;35;42;37;40;36;53;29;60;36;43;39;58;60;76;62;29
Total;593;668;535;655;611;693;650;775;697;820;760;926;858;1.080;969;1.248;1.142;1.221;1.073;1.302;1.157;1.248;1.207;1.320;1.214;1.253;1.426;1.268;1.305;1.229;1.372;1.307;1.362;1.419;1.471;1.530;1.779;1.538;1.656
